Total summed result,,106,,,225525,,,15203,,,36019,,,
Government,,68,100,64.1,145173,100,64.3,2313,100,15.2,6827,100,18.9
,Patta,,,,,,,,0.04,0.00,,0.01,0.00
,Other,,,,,,,3,0.12,0.01,12,0.17,0.03
,Possession Certificate/Occupancy Right,,,,,,,5,0.21,0.03,19,0.27,0.05
,Private Land Encroched,,,,,,,,0.04,0.00,,0.01,0.00
,Public Land Encroched,,,,,,,1774,76.6,11.6,6527,95.6,18.1
,Rented,,,,,,,19,0.82,0.12,65,0.95,0.18
,No tenure data,,,,,,,455,19.6,2.99,0,0,0
,No tenure data,,,,,,,57,2.46,0.37,204,,
Private,,22,100,20.7,2119,100,0.93,13,100,0.08,43,100,0.11
,Patta,,,,,,,,7.69,0.00,,2.32,0.00
,Other,,,,,,,,7.69,0.00,,2.32,0.00
,Possession Certificate/Occupancy Right,,,,,,,1,7.69,0.00,3,6.97,0.00
,Private Land Encroched,,,,,,,,7.69,0.00,,2.32,0.00
,Public Land Encroched,,,,,,,4,30.7,0.02,16,37.2,0.04
,Rented,,,,,,,,7.69,0.00,,2.32,0.00
,No tenure data,,,,,,,,7.69,0.00,,2.32,0.00
,No tenure data,,,,,,,8,61.5,0.05,24,,
No ownership data,,16,100,15.0,78231,100,34.6,923,100,6.07,2606,100,7.23
,Patta,,,,,,,31,3.35,0.20,142,5.44,0.39
,Other,,,,,,,2,0.21,0.01,6,0.23,0.01
,Possession Certificate/Occupancy Right,,,,,,,7,0.75,0.04,26,0.99,0.07
,Private Land Encroched,,,,,,,,0.10,0.00,,0.03,0.00
,Public Land Encroched,,,,,,,529,57.3,3.47,2040,78.2,5.66
,Rented,,,,,,,61,6.60,0.40,211,8.09,0.58
,No tenure data,,,,,,,241,26.1,1.58,0,0,0
,No tenure data,,,,,,,52,5.63,0.34,181,,
